pair,acronym,description,frequency_all_disciplines
"('TS', 'trabajadoras sexuales')",TS,trabajadoras sexuales,4
"('EMJ', 'epilepsia mioclonica juvenil')",EMJ,epilepsia mioclonica juvenil,7
"('IIS', 'inequidad en salud')",IIS,inequidad en salud,1
"('MARS', 'multivariate adaptative regression splines')",MARS,multivariate adaptative regression splines,3
"('GIST', 'gastroinestinal')",GIST,gastroinestinal,3
"('PIDA', 'poliradiculoneuritis inflamatoria desmielinizante aguda')",PIDA,poliradiculoneuritis inflamatoria desmielinizante aguda,4
"('P.R.', 'poliquistosis renal')",P.R.,poliquistosis renal,3
"('SG', 'supervivencia global')",SG,supervivencia global,3
"('SMSL', 'síndrome de la muerte súbita del lactante')",SMSL,síndrome de la muerte súbita del lactante,7
"('IMID', 'inmunomediadas')",IMID,inmunomediadas,14
"('CE', 'coste-efectividad')",CE,coste-efectividad,1
"('LA', 'líquido amniótico')",LA,líquido amniótico,3
"('SIDA', 'sarcoma epidémico de kaposi')",SIDA,sarcoma epidémico de kaposi,5
"('ICSI', 'intracitoplásmica de espermatozoides')",ICSI,intracitoplásmica de espermatozoides,4
"('ENNyS', 'encuesta nacional de nutrición y salud')",ENNyS,encuesta nacional de nutrición y salud,2
"('IA', 'incidencias acumuladas')",IA,incidencias acumuladas,5
"('GOLD', 'global initiative for chronic obstructive lung disease')",GOLD,global initiative for chronic obstructive lung disease,6
"('BMQ', 'beliefs about medicines questionnare')",BMQ,beliefs about medicines questionnare,3
"('GESEPOC', 'guía española de la epoc')",GESEPOC,guía española de la epoc,6
"('anti-H1', 'antihistamínicos h1 orales')",anti-H1,antihistamínicos h1 orales,1
"('HUC', 'hospital universitario de caracas')",HUC,hospital universitario de caracas,3
"('EAI', 'epilepsia de ausencias infantil')",EAI,epilepsia de ausencias infantil,3
"('AA', 'abdomen agudo')",AA,abdomen agudo,1
"('sic.', 'social para la apropiación o ""empoderamiento""')",sic.,"social para la apropiación o ""empoderamiento""",5
"('EEG', 'electroencefalograma')",EEG,electroencefalograma,3
"('TCS', 'trastornos por consumo de sustancias')",TCS,trastornos por consumo de sustancias,1
"('DESA', 'desfibrilador externo semiautomático')",DESA,desfibrilador externo semiautomático,1
"('TDAH', 'trastorno por déficit de atención con hiperactividad')",TDAH,trastorno por déficit de atención con hiperactividad,1
"('RAHP', 'receptores frente a albúmina humana polimerizada')",RAHP,receptores frente a albúmina humana polimerizada,1
"('VCN13', 'vacuna neumocócica conjugada de 13 serotipos')",VCN13,vacuna neumocócica conjugada de 13 serotipos,1
"('SGLT2', 'sodio-glucosa tipo 2')",SGLT2,sodio-glucosa tipo 2,5
"('ECV', 'enfermedad cardiovascular')",ECV,enfermedad cardiovascular,23
"('PN', 'peso al nacer')",PN,peso al nacer,2
"('DACBI', 'dermatosis ampollosa crónica benigna infantil')",DACBI,dermatosis ampollosa crónica benigna infantil,2
"('ONT', 'organización nacional de trasplantes')",ONT,organización nacional de trasplantes,4
"('TASPE', 'trasplante autólogo de progenitores hematopoyéticos de sangre periférica')",TASPE,trasplante autólogo de progenitores hematopoyéticos de sangre periférica,10
"('TUNA', 'transuretral con aguja')",TUNA,transuretral con aguja,1
"('IDPN', 'iminodipropionitrilo')",IDPN,iminodipropionitrilo,1
"('RA', 'riesgo atribuible')",RA,riesgo atribuible,4
"('LLA', 'leucemia linfoide aguda')",LLA,leucemia linfoide aguda,8
"('ZMCM', 'zona metropolitana de la ciudad de mexico')",ZMCM,zona metropolitana de la ciudad de mexico,1
"('PT', 'presión de tratamiento')",PT,presión de tratamiento,1
"('END', 'escala numérica de dolor')",END,escala numérica de dolor,4
"('CA', 'circunferencia abdominal')",CA,circunferencia abdominal,3
"('DMRE', 'degeneración macular relacionada con la edad')",DMRE,degeneración macular relacionada con la edad,3
"('URS', 'ureterorrenoscopia')",URS,ureterorrenoscopia,6
"('DAS', 'diámetro abdominal sagital')",DAS,diámetro abdominal sagital,2
"('Ft', 'ferritina')",Ft,ferritina,6
"('CdV', 'calidad de vida')",CdV,calidad de vida,2
"('VGA', 'vacuna de la gripe a h1n1')",VGA,vacuna de la gripe a h1n1,2
"('SAS', 'síntomas asociados con el sueño')",SAS,síntomas asociados con el sueño,4
"('GCA', 'gastritis crónica antral')",GCA,gastritis crónica antral,8
"('L.P.C.', 'lavado peritoneal continuo postoperatorio')",L.P.C.,lavado peritoneal continuo postoperatorio,1
"('HMO', 'health maintenance organizations')",HMO,health maintenance organizations,1
"('P/E', 'para la edad')",P/E,para la edad,2
"('TES', 'técnicos en emergencia sanitaria')",TES,técnicos en emergencia sanitaria,2
"('SEPHO', 'sociedad española de pediatría hospitalaria')",SEPHO,sociedad española de pediatría hospitalaria,1
"('HHM', 'hemohidrometría')",HHM,hemohidrometría,3
"('CPNM', 'carcinoma de pulmón no microcelular')",CPNM,carcinoma de pulmón no microcelular,6
"('GEIDAC', 'grupo español de investigación en dermatitis de contacto y alergia cutánea')",GEIDAC,grupo español de investigación en dermatitis de contacto y alergia cutánea,4
"('PCT', 'pliegue cutáneo tricipital')",PCT,pliegue cutáneo tricipital,6
"('CEIC', 'comité ético de investigación clínica')",CEIC,comité ético de investigación clínica,3
"('VHE', 'virus de la hepatitis e')",VHE,virus de la hepatitis e,3
"('SCD', 'síndrome de costilla deslizante')",SCD,síndrome de costilla deslizante,2
"('EVW', 'enfermedad de von willebrand')",EVW,enfermedad de von willebrand,10
"('PROCES', 'programa de reanimación cardiopulmonar orientado a centros de enseñanza secundaria')",PROCES,programa de reanimación cardiopulmonar orientado a centros de enseñanza secundaria,1
"('AP', 'admisión primaria')",AP,admisión primaria,4
"('OI', 'ojo izquierdo')",OI,ojo izquierdo,4
"('SEN', 'sociedad española de nefrología')",SEN,sociedad española de nefrología,1
"('GEIH', 'grupo de estudio de infección hospitalaria')",GEIH,grupo de estudio de infección hospitalaria,3
"('UCE', 'unidad de corta estancia')",UCE,unidad de corta estancia,4
"('TEA', 'trastorno del espectro autista')",TEA,trastorno del espectro autista,24
"('NLP', 'nefrolitectomía percutánea')",NLP,nefrolitectomía percutánea,3
"('AV', 'acceso vascular')",AV,acceso vascular,5
"('NAG', 'n-acetil-glucosaminidasa')",NAG,n-acetil-glucosaminidasa,4
"('RIER', 'red de investigación en inflamación y enfermedades reumáticas')",RIER,red de investigación en inflamación y enfermedades reumáticas,1
"('MEC', 'medidas cognitivas')",MEC,medidas cognitivas,3
"('RMS', 'rabdomiosarcoma')",RMS,rabdomiosarcoma,1
"('ECA', 'enzima de conversíon de la angiotensina')",ECA,enzima de conversíon de la angiotensina,1
"('HPV', 'hospital provincial de valencia')",HPV,hospital provincial de valencia,1
"('TMT', 'trail making test')",TMT,trail making test,1
"('Tnc', 'troponina cardiaca')",Tnc,troponina cardiaca,1
"('EPR', 'esofagitis por reflujo')",EPR,esofagitis por reflujo,3
"('II', 'inestables hospitalizados en barcelona')",II,inestables hospitalizados en barcelona,3
"('PCNA', 'proliferacion celular')",PCNA,proliferacion celular,4
"('DHCC', 'dihidroxicolecalciferol')",DHCC,dihidroxicolecalciferol,3
"('CoRIS', 'con infección por vih sin tratamiento antirretroviral previo')",CoRIS,con infección por vih sin tratamiento antirretroviral previo,4
"('DFO', 'deferoxamina')",DFO,deferoxamina,6
"('kD', 'kilodalton')",kD,kilodalton,2
"('BPAQ-MI', 'barriers to physical activity questionnaire for people with mobility impairments')",BPAQ-MI,barriers to physical activity questionnaire for people with mobility impairments,1
"('CV', 'coeficiente de variación')",CV,coeficiente de variación,1
"('HNF', 'heparina no fraccionada')",HNF,heparina no fraccionada,6
"('Au', 'australiano')",Au,australiano,2
"('POCAA', 'percepción de obesidad, comportamiento alimentario y actividad física')",POCAA,"percepción de obesidad, comportamiento alimentario y actividad física",1
"('CHO', 'carbohidratos')",CHO,carbohidratos,2
"('T/E', 'talla para la edad')",T/E,talla para la edad,2
"('SDI', 'sheehan disability inventory')",SDI,sheehan disability inventory,1
"('CTT', 'cefaleas de tipo tensional')",CTT,cefaleas de tipo tensional,3
"('EMPP', 'em primariamente progresiva')",EMPP,em primariamente progresiva,6
"('MUSIC', 'muerte súbita en insuficiencia cardíaca')",MUSIC,muerte súbita en insuficiencia cardíaca,4
"('DC', 'dismorfia costal')",DC,dismorfia costal,2
"('SAHS', 'síndrome de apneas-hipopneas durante el sueño')",SAHS,síndrome de apneas-hipopneas durante el sueño,4
"('RIETE', 'registro informatizado de pacientes con enfermedad tromboembólica en españa')",RIETE,registro informatizado de pacientes con enfermedad tromboembólica en españa,4
"('VHC', 'virus hepatitis c')",VHC,virus hepatitis c,8
"('VMNI', 'ventilación mecánica no invasiva')",VMNI,ventilación mecánica no invasiva,7
"('MAT', 'microaglutinación')",MAT,microaglutinación,4
"('EAV', 'escala analógica visual')",EAV,escala analógica visual,1
"('SCID', 'síndrome de coagulación intravascular diseminada')",SCID,síndrome de coagulación intravascular diseminada,4
"('ETMA', 'estudio sobre la tolerancia a la medicación antihipertensiva')",ETMA,estudio sobre la tolerancia a la medicación antihipertensiva,6
"('HPAF', 'heridas por arma de fuego')",HPAF,heridas por arma de fuego,2
"('CEAh', 'células del epitelio amniótico humano')",CEAh,células del epitelio amniótico humano,1
"('EFED', 'evaluación funcional endoscópica de la deglución')",EFED,evaluación funcional endoscópica de la deglución,2
"('ACR', 'american college of rheumatology')",ACR,american college of rheumatology,6
"('IRA', 'infeccion respiratoria aguda')",IRA,infeccion respiratoria aguda,1
"('FR', 'flexión de rodilla')",FR,flexión de rodilla,3
"('PV', 'pitiriasis versicolor')",PV,pitiriasis versicolor,6
"('y II', 'y su fisiopatología')",y II,y su fisiopatología,1
"('IGEV', 'inmunogtlobulina g humana endovenosa')",IGEV,inmunogtlobulina g humana endovenosa,3
"('RFB', 'reacción de floculación con bentonita')",RFB,reacción de floculación con bentonita,2
"('CAMCOG', 'cambridge cognitive examination')",CAMCOG,cambridge cognitive examination,3
"('Red INMA', 'red de investigación ""infancia y medio ambiente""')",Red INMA,"red de investigación ""infancia y medio ambiente""",1
"('BPYR', 'by-pass gástrico en y de roux')",BPYR,by-pass gástrico en y de roux,4
"('SN', 'síndrome de netherton')",SN,síndrome de netherton,2
"('ISD', 'inventario de la situación diagnóstica')",ISD,inventario de la situación diagnóstica,5
"('IMSS', 'instituto mexicano del seguro social')",IMSS,instituto mexicano del seguro social,51
"('MAT', 'modelo andorrano de triaje')",MAT,modelo andorrano de triaje,1
"('EV-A71', 'enterovirus a71')",EV-A71,enterovirus a71,1
"('CO', 'carbono')",CO,carbono,1
"('TDP', 'test digital de percepción')",TDP,test digital de percepción,3
"('MNIO', 'monitoreo neurofisiológico intraoperatorio')",MNIO,monitoreo neurofisiológico intraoperatorio,6
"('PCM', 'primer contacto médico')",PCM,primer contacto médico,5
"('LDH', 'lactodeshidrogenasa')",LDH,lactodeshidrogenasa,1
"('EC', 'enfermedades cardiovasculares')",EC,enfermedades cardiovasculares,2
"('BRA-II', 'bloqueador del receptor de angiotensina ii')",BRA-II,bloqueador del receptor de angiotensina ii,1
"('TIP', 'trombocitopenia inmune primaria')",TIP,trombocitopenia inmune primaria,5
"('ET', 'enseñanza tradicional')",ET,enseñanza tradicional,1
"('MSC', 'ministerio de sanidad y consumo')",MSC,ministerio de sanidad y consumo,1
"('ORs', 'odds ratios')",ORs,odds ratios,3
"('IC', 'intervalo de confianza')",IC,intervalo de confianza,18
"('HD', 'hemodiálisis')",HD,hemodiálisis,26
"('VFG', 'velocidad de filtración glomerular')",VFG,velocidad de filtración glomerular,3
"('Fontana', 'forma de ‘‘y’’ usando sutura mecánica no reabsorbible')",Fontana,forma de ‘‘y’’ usando sutura mecánica no reabsorbible,6
"('ISVP', 'instrumento índice de severidad de violencia de pareja')",ISVP,instrumento índice de severidad de violencia de pareja,3
"('GPAA', 'glaucoma primario de ángulo abierto')",GPAA,glaucoma primario de ángulo abierto,5
"('B. P.', 'bálsamo del peru?')",B. P.,bálsamo del peru?,1
"('RVDD', 'respuesta ventilatoria disfuncional al destete')",RVDD,respuesta ventilatoria disfuncional al destete,2
"('R24', 'recordatorios de 24 horas')",R24,recordatorios de 24 horas,2
"('S.H.U.', 'sindroma hemolítico urémico')",S.H.U.,sindroma hemolítico urémico,3
"('CMLALM', 'centro médico “lic. adolfo lópez mateos”')",CMLALM,centro médico “lic. adolfo lópez mateos”,5
"('TAR', 'tratamiento antirretroviral')",TAR,tratamiento antirretroviral,8
"('EM', 'enuresis primaria monosintomática')",EM,enuresis primaria monosintomática,1
"('VIH', 'virus de la inmunodeficiencia del humano')",VIH,virus de la inmunodeficiencia del humano,3
"('CEBQ', 'child eating behaviour questionnaire')",CEBQ,child eating behaviour questionnaire,2
"('DPNC', 'derrame pleural neoplásico complicado')",DPNC,derrame pleural neoplásico complicado,7
"('VPH-AR', 'virus del papiloma humano de alto riesgo')",VPH-AR,virus del papiloma humano de alto riesgo,12
"('NED', 'nutrición enteral domiciliaria')",NED,nutrición enteral domiciliaria,13
"('B/N', 'buprenorfina/naloxona (suboxone®)')",B/N,buprenorfina/naloxona (suboxone®),1
"('RVN', 'registro vacunal nominal')",RVN,registro vacunal nominal,5
"('SEMN', 'sociedad española de medicina nuclear')",SEMN,sociedad española de medicina nuclear,2
"('BGN-MR', 'bacilos gram-negativos multirresistentes')",BGN-MR,bacilos gram-negativos multirresistentes,4
"('SENR', 'sociedad española de neurorradiología')",SENR,sociedad española de neurorradiología,11
"('INNN', 'instituto nacional de neurología y neurocirugía')",INNN,instituto nacional de neurología y neurocirugía,2
"('NBT', 'nitro-blue tetrazolium')",NBT,nitro-blue tetrazolium,1
"('O.M.S.', 'organización mundial de la salud')",O.M.S.,organización mundial de la salud,2
"('AQ20', 'airways questionnaire 20')",AQ20,airways questionnaire 20,2
"('SDF', 'sedación farmacológica')",SDF,sedación farmacológica,1
"('BLOC', 'batería de lenguaje objetiva y criterial')",BLOC,batería de lenguaje objetiva y criterial,1
"('ECh', 'enfermedad de chagas')",ECh,enfermedad de chagas,3
"('ECIRyC', 'escala de control de los impulsos ramón y cajal')",ECIRyC,escala de control de los impulsos ramón y cajal,2
"('RMf', 'resonancia magnetica funcional')",RMf,resonancia magnetica funcional,2
"('FDG', 'fluoro-desoxiglucosa')",FDG,fluoro-desoxiglucosa,5
"('TECC', 'tactical emergency casualty care')",TECC,tactical emergency casualty care,1
"('SCARTD', 'societat catalana d\'anestesiologia, reanimació i terapèutica del dolor""')",SCARTD,"societat catalana d'anestesiologia, reanimació i terapèutica del dolor""",1
"('ASAS-R', 'agency scale-revised')",ASAS-R,agency scale-revised,3
"('AC', 'análisis conjunto')",AC,análisis conjunto,1
"('UCN', 'unidades de cuidados neurovasculares')",UCN,unidades de cuidados neurovasculares,1
"('AMFE', 'academia de medicina de familia de españa')",AMFE,academia de medicina de familia de españa,1
"('UTAC', 'unidades de tratamiento del ataque cerebrovascular')",UTAC,unidades de tratamiento del ataque cerebrovascular,3
"('C.E.A.', 'carcinoembrionario')",C.E.A.,carcinoembrionario,3
"('CPRE', 'colagiopancreatografía retrógrada endoscópica')",CPRE,colagiopancreatografía retrógrada endoscópica,1
"('UC', 'unidades de cefalea')",UC,unidades de cefalea,5
"('AIT', 'accidente isquémico transitorio')",AIT,accidente isquémico transitorio,4
"('TDA', 'trastornos por deficit de atencion')",TDA,trastornos por deficit de atencion,2
"('SNEM', 'servicio nacional de erradicación de la malaria')",SNEM,servicio nacional de erradicación de la malaria,1
"('IAAS', 'infecciones asociadas a la atención de la salud')",IAAS,infecciones asociadas a la atención de la salud,1
"('ESG', 'evaluación subjetiva global')",ESG,evaluación subjetiva global,2
"('EC', 'estrategia convencional')",EC,estrategia convencional,1
"('CCU', 'cáncer de cérvix uterino')",CCU,cáncer de cérvix uterino,6
"('NIVa', 'neoplasia intraepitelial vaginal')",NIVa,neoplasia intraepitelial vaginal,5
"('BIS', 'biespectral')",BIS,biespectral,2
"('SPC', 'sindromes post-colecistectomia')",SPC,sindromes post-colecistectomia,1
"('LVQOL', 'low vision quality of life')",LVQOL,low vision quality of life,4
"('ANCA-PR3', 'anticitoplasma de neutrófilo tipo proteinasa-3')",ANCA-PR3,anticitoplasma de neutrófilo tipo proteinasa-3,1
"('MRT', 'mortalidad relacionada con el trasplante')",MRT,mortalidad relacionada con el trasplante,4
"('TR', 'termorresistente de leptospira')",TR,termorresistente de leptospira,3
"('IPI', 'indice ponderal intrauterino')",IPI,indice ponderal intrauterino,4
"('EO', 'estrés oxidativo')",EO,estrés oxidativo,4
"('RBC', 'rehabilitación basada en la comunidad')",RBC,rehabilitación basada en la comunidad,1
"('DAA', 'dolor abdominal agudo')",DAA,dolor abdominal agudo,1
"('PEFEX', 'para la evaluación de la fibrinólisis extrahospitalaria')",PEFEX,para la evaluación de la fibrinólisis extrahospitalaria,3
"('AFE', 'análisis factorial exploratorio')",AFE,análisis factorial exploratorio,5
"('ECP', 'estimulacion cerebral profunda')",ECP,estimulacion cerebral profunda,12
"('SINAN', 'sistema de información de enfermedades de notificación')",SINAN,sistema de información de enfermedades de notificación,7
"('SC', 'síndrome de cushing')",SC,síndrome de cushing,5
"('SAAC', 'sistemas de comunicacion aumentativa y alternativa')",SAAC,sistemas de comunicacion aumentativa y alternativa,4
"('PBI', 'producto bruto interno')",PBI,producto bruto interno,1
"('BQs', 'bronquiectasias')",BQs,bronquiectasias,4
"('PEVAC', 'pie equino varo aducto congénito')",PEVAC,pie equino varo aducto congénito,4
"('MDR', 'multirresistencia a drogas')",MDR,multirresistencia a drogas,3
"('DE', 'de enfermería fue 29,9')",DE,"de enfermería fue 29,9",1
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana,45
"('REALSICA', 'registro de alteplasa en síndromes coronarios agudos con elevación del st')",REALSICA,registro de alteplasa en síndromes coronarios agudos con elevación del st,5
"('G.T.', 'gastrectomías totales')",G.T.,gastrectomías totales,3
"('PCT', 'procalcitonina')",PCT,procalcitonina,6
"('GI', 'g/l en las primigestas')",GI,g/l en las primigestas,1
"('UME', 'unidades medicalizadas de emergencia')",UME,unidades medicalizadas de emergencia,3
"('SDR', 'síndrome de dificultad respiratoria')",SDR,síndrome de dificultad respiratoria,8
"('T. cruzi', 'trypanosoma cruzi')",T. cruzi,trypanosoma cruzi,1
"('L+', 'la pared vesical')",L+,la pared vesical,4
"('IBP', 'inhibidores de la bomba de protones')",IBP,inhibidores de la bomba de protones,5
"('IC95%', 'intervalos de confianza de 95%')",IC95%,intervalos de confianza de 95%,1
"('ED', 'extendido')",ED,extendido,3
"('MOSPSC', 'medical office survey on patient safety culture')",MOSPSC,medical office survey on patient safety culture,2
"('EE', 'esofagitis eosinofílica')",EE,esofagitis eosinofílica,4
"('SEGHNP', 'sociedad española de gastroenterología, hepatología y nutrición pediátrica')",SEGHNP,"sociedad española de gastroenterología, hepatología y nutrición pediátrica",5
"('IVU', 'infecciones de las vías urinarias')",IVU,infecciones de las vías urinarias,3
"('ES/E', 'estatura sentada/estatura')",ES/E,estatura sentada/estatura,2
"('ASLO', 'antiestreptolisina o')",ASLO,antiestreptolisina o,1
"('PS', 'privación de sueño')",PS,privación de sueño,2
"('FEPPI', 'fibroelastosis pleuroparenquimatosa idiopàtica')",FEPPI,fibroelastosis pleuroparenquimatosa idiopàtica,1
"('MNA', 'mínima nutricional')",MNA,mínima nutricional,2
"('naloxona', 'n-alil-nor-oximorfona')",naloxona,n-alil-nor-oximorfona,2
"('DDDs', 'diarias definidas')",DDDs,diarias definidas,1
"('ACMPV', 'anomalías congénitas de mal pronóstico vital')",ACMPV,anomalías congénitas de mal pronóstico vital,3
"('EPI', 'enfermedad de parkinson idiopatica')",EPI,enfermedad de parkinson idiopatica,5
"('RACat', 'registro de artroplastias de cataluña')",RACat,registro de artroplastias de cataluña,7
"('IRA', 'infección respiratoria aguda')",IRA,infección respiratoria aguda,5
"('CCHS', 'celiac health survey')",CCHS,celiac health survey,3
"('UPDRS', ""unified parkinson's disease rating scale"")",UPDRS,unified parkinson's disease rating scale,7
"('PRC', 'programa de rehabilitación cardiaca')",PRC,programa de rehabilitación cardiaca,5
"('PCR-us', 'proteína c-reactiva ultrasensible')",PCR-us,proteína c-reactiva ultrasensible,2
"('MRC', 'medical research council')",MRC,medical research council,9
"('PADS', 'physical activity and disability survey')",PADS,physical activity and disability survey,5
"('As3MT', 'arsénico 3 metiltransferasa')",As3MT,arsénico 3 metiltransferasa,4
"('TA', 'tabaquismo activo')",TA,tabaquismo activo,2
"('NMPc', 'neoplasia mieloproliferativa crónica')",NMPc,neoplasia mieloproliferativa crónica,3
"('LMR', 'lesión del manguito rotador')",LMR,lesión del manguito rotador,5
"('RCUI', 'relación coste-utilidad')",RCUI,relación coste-utilidad,7
"('BoNT-A', 'botulínica tipo a')",BoNT-A,botulínica tipo a,4
"('CFC-GM', 'células formadoras de colonias granulomonocíticas')",CFC-GM,células formadoras de colonias granulomonocíticas,3
"('URO', 'urogastrona')",URO,urogastrona,1
"('A.R.', 'artritis reumatoidea')",A.R.,artritis reumatoidea,2
"('NIE III', 'neoplasia intraepitelial de alto grado')",NIE III,neoplasia intraepitelial de alto grado,7
"('peso kg', 'predicción final, en la muestra total, fue: mmae (kg) = 0,107')",peso kg,"predicción final, en la muestra total, fue: mmae (kg) = 0,107",4
"('MNA', 'mini nutritional assesment')",MNA,mini nutritional assesment,3
"('BP', 'bienestar psicológico')",BP,bienestar psicológico,4
"('HAS', 'hipertensión arterial sistémica')",HAS,hipertensión arterial sistémica,6
"('VCO', 'vagotomía de células oxínticas')",VCO,vagotomía de células oxínticas,7
"('SIRI', 'síndrome de insuficiencia respiratoria idiopática')",SIRI,síndrome de insuficiencia respiratoria idiopática,2
"('MeSH', 'medical subject headings')",MeSH,medical subject headings,4
"('IDB', 'inventario de depresión de beck')",IDB,inventario de depresión de beck,5
"('DE', 'de 5 años')",DE,de 5 años,3
"('DMT', 'dolor muscular tardío')",DMT,dolor muscular tardío,1
"('GVML', 'gastrectomía vertical en manga laparoscópica')",GVML,gastrectomía vertical en manga laparoscópica,2
"('UPA', 'unidad ponderada asistencial')",UPA,unidad ponderada asistencial,1
"('AAS', 'a ácido acetilsalicílico')",AAS,a ácido acetilsalicílico,1
"('UVBBE', 'ultravioleta b de banda estrecha')",UVBBE,ultravioleta b de banda estrecha,7
"('AMINE', 'asociacion de monitorizacion intraquirurgica neurofisiologica española')",AMINE,asociacion de monitorizacion intraquirurgica neurofisiologica española,2
"('GEE', 'generalized estimating equations')",GEE,generalized estimating equations,3
"('TCE', 'traumatismos craneoencefalicos')",TCE,traumatismos craneoencefalicos,10
"(""DIU's"", 'dispositivos intrauterinos')",DIU's,dispositivos intrauterinos,2
"('CPAQ', 'chronic pain acceptance questionnaire')",CPAQ,chronic pain acceptance questionnaire,5
"('NUT', 'nitrógeno urinario total')",NUT,nitrógeno urinario total,4
"('ECOE', 'examen clínico objetivo estructurado')",ECOE,examen clínico objetivo estructurado,2
"('IUE', 'incontinencia de orina de esfuerzo')",IUE,incontinencia de orina de esfuerzo,3
"('EE', 'esfinterotomía endoscópica')",EE,esfinterotomía endoscópica,7
"('AAAR', 'aorta abdominal rotos')",AAAR,aorta abdominal rotos,2
"('FPS', 'factor de protección solar')",FPS,factor de protección solar,2
"('CEMPV', 'cuestionario para la evaluación de la minusvalía en patología vestibular')",CEMPV,cuestionario para la evaluación de la minusvalía en patología vestibular,6
"('GLAITH', 'grupo latinoamericano para el impulso del tratamiento de la hemofilia')",GLAITH,grupo latinoamericano para el impulso del tratamiento de la hemofilia,5
"('CG', 'carga glicémica')",CG,carga glicémica,7
"('MDS', 'multidimensional escalado')",MDS,multidimensional escalado,2
"('MEN 1', 'múltiple tipo 1')",MEN 1,múltiple tipo 1,5
"('MBSRQ', 'multidimensional body self relations questionnaire')",MBSRQ,multidimensional body self relations questionnaire,2
"('EV', 'efectividad vacunal')",EV,efectividad vacunal,5
"('TPSPT', 'trastorno por estrés post traumático')",TPSPT,trastorno por estrés post traumático,2
"('DPNT', 'de la psicosis no tratada')",DPNT,de la psicosis no tratada,3
"('DIU', 'dispositivo intrauterino')",DIU,dispositivo intrauterino,5
"('CC', 'cardiopatías congénitas')",CC,cardiopatías congénitas,15
"('URMES', 'urgencias reumatológicas y musculoesqueléticas')",URMES,urgencias reumatológicas y musculoesqueléticas,4
"('SNS', 'sistema de nutrición suplementaria para lactar')",SNS,sistema de nutrición suplementaria para lactar,1
"('SNI', 'sistema nacional de investigadores')",SNI,sistema nacional de investigadores,1
"('plan AUGE', 'plan de acceso universal y garantías explícitas')",plan AUGE,plan de acceso universal y garantías explícitas,2
"('TA', 'tratamiento antimicrobiano')",TA,tratamiento antimicrobiano,2
"('NRS-2002', 'nutritional risk screening 2002')",NRS-2002,nutritional risk screening 2002,10
"('RPC', 'reacción de polimerasa en cadena')",RPC,reacción de polimerasa en cadena,2
"('CI', 'coeficiente intelectual')",CI,coeficiente intelectual,4
"('Tg', 'tiroglobulina')",Tg,tiroglobulina,3
"('EET', 'estrategia educativa tradicional')",EET,estrategia educativa tradicional,1
"('UREA', 'una menor adecuación que la medida por kt/v')",UREA,una menor adecuación que la medida por kt/v,4
"('OnabotA', 'onabotulinumtoxina')",OnabotA,onabotulinumtoxina,2
"('Ensanut', 'encuesta nacional de salud y nutrición')",Ensanut,encuesta nacional de salud y nutrición,5
"('UCIP', 'unidades de cuidados intensivos pediátricos')",UCIP,unidades de cuidados intensivos pediátricos,1
"('IECA', 'inhibidor de la enzima convertidora de angiotensina')",IECA,inhibidor de la enzima convertidora de angiotensina,1
"('ECV', 'eventos cardiovasculares')",ECV,eventos cardiovasculares,4
"('IC95%', 'intervalos de confianza del 95%')",IC95%,intervalos de confianza del 95%,4
"('HPM', 'hipotalamotomía posteromedial')",HPM,hipotalamotomía posteromedial,3
"('UAM', 'universidad autónoma de madrid')",UAM,universidad autónoma de madrid,1
"('TAN', 'tasa de apendicectomía negativa')",TAN,tasa de apendicectomía negativa,2
"('VHB', 'virus de la hepatitis b')",VHB,virus de la hepatitis b,30
"('FIS', 'fondo de investigación sanitaria')",FIS,fondo de investigación sanitaria,2
"('CUCI', 'colitis ulcerativa crónica ideopática')",CUCI,colitis ulcerativa crónica ideopática,8
"('PANDA', 'programa nacional de cáncer del adulto')",PANDA,programa nacional de cáncer del adulto,6
"('PM', 'peso molecular')",PM,peso molecular,1
"('NMDAR', 'n-metil-d-aspartato')",NMDAR,n-metil-d-aspartato,4
"('SHC', 'síndrome de hiperémesis cannábica')",SHC,síndrome de hiperémesis cannábica,2
"('TMI-MC', 'tasa de mortalidad infantil por mc')",TMI-MC,tasa de mortalidad infantil por mc,2
"('IC', 'indicadores de calidad')",IC,indicadores de calidad,7
"('TCA', 'trastornos del comportamiento alimentario')",TCA,trastornos del comportamiento alimentario,3
"('MCA', 'metilcianoacrilato')",MCA,metilcianoacrilato,2
"('TCE', 'traumatismo craneoencefalico')",TCE,traumatismo craneoencefalico,20
"('PET-FDG', 'positrones mediante 18-fluoro-2-desoxi-d-glucosa')",PET-FDG,positrones mediante 18-fluoro-2-desoxi-d-glucosa,5
"('EHI', 'encefalopatía hipóxico-isquémica')",EHI,encefalopatía hipóxico-isquémica,6
"('PPA', 'placa periarticular')",PPA,placa periarticular,3
"('IFN', 'interferon alfa-2b')",IFN,interferon alfa-2b,3
"('RENAVE', 'red nacional de vigilancia epidemiológica')",RENAVE,red nacional de vigilancia epidemiológica,2
"('VHS', 'virus herpes simple')",VHS,virus herpes simple,3
"('CI', 'código infarto')",CI,código infarto,3
"('As', 'arsénico')",As,arsénico,2
"('SRO', 'síndrome referencial olfatorio')",SRO,síndrome referencial olfatorio,2
"('DVD', 'de vitamina d')",DVD,de vitamina d,1
