pair,acronym,description
"('ABiF', 'andalusian bipolar family')",ABiF,andalusian bipolar family
"('FA', 'fosfatasa alcalina')",FA,fosfatasa alcalina
"('EET', 'estrategia educativa tradicional')",EET,estrategia educativa tradicional
"('APSO', 'autopercepción de la salud oral')",APSO,autopercepción de la salud oral
"('DSM', 'desarrollo psicomotor')",DSM,desarrollo psicomotor
"('OMS', 'otitis media serosa')",OMS,otitis media serosa
"('ESPIDEP', 'estudio piloto de derivación de pacientes con espondiloartritis precoz')",ESPIDEP,estudio piloto de derivación de pacientes con espondiloartritis precoz
"('LAP', 'leucinaminopeptidasis')",LAP,leucinaminopeptidasis
"('SF-36', 'salud formato corto-36')",SF-36,salud formato corto-36
"('PC/E', 'perímetro cefálico/estatura')",PC/E,perímetro cefálico/estatura
"('FPS', 'factor de protección solar')",FPS,factor de protección solar
"('E.R.G.', 'electroretinograma')",E.R.G.,electroretinograma
"('MNA', 'mínima nutricional')",MNA,mínima nutricional
"('UMF', 'unidades de medicina familiar')",UMF,unidades de medicina familiar
"('Hb A2', 'hemoglobina a2')",Hb A2,hemoglobina a2
"('EC', 'enfermedades cardiovasculares')",EC,enfermedades cardiovasculares
"('IR', 'inferior a la recomendada')",IR,inferior a la recomendada
"('LHR O/E', 'lung to head ratio observado/esperado')",LHR O/E,lung to head ratio observado/esperado
"('NPI-Q', 'neuropsychiatric inventory questionnaire')",NPI-Q,neuropsychiatric inventory questionnaire
"('G6FD', 'glucosa-6-fosfato dehidrogenasa eritrocítica')",G6FD,glucosa-6-fosfato dehidrogenasa eritrocítica
"('IC 95%', 'ic 95%: 0,74-0,98] con abc-roc de 0,91')",IC 95%,"ic 95%: 0,74-0,98] con abc-roc de 0,91"
"('copep-es', 'copeptina de elevada sensibilidad')",copep-es,copeptina de elevada sensibilidad
"('TCPS', 'test de comparacion perceptual de salthouse')",TCPS,test de comparacion perceptual de salthouse
"('MGMT', 'metilguanina-adn-metiltransferasa')",MGMT,metilguanina-adn-metiltransferasa
"('IPM', 'intoxicación paralítica por mariscos')",IPM,intoxicación paralítica por mariscos
"('HCC', 'hepatitisc crónica')",HCC,hepatitisc crónica
"('EB', 'exceso de base')",EB,exceso de base
"('SEHER', 'sociedad española de heridas')",SEHER,sociedad española de heridas
"('LBA', 'lavado broncoalveolar')",LBA,lavado broncoalveolar
"('LA', 'líquido amniótico')",LA,líquido amniótico
"('FP-CIT', 'fluoropropil-2ßcarbometoxi-3ß-(4-iodofenil) nortropano')",FP-CIT,fluoropropil-2ßcarbometoxi-3ß-(4-iodofenil) nortropano
"('Co', 'colina')",Co,colina
"('UDP', 'umbrales de dolor a la presion')",UDP,umbrales de dolor a la presion
"('BLEE', 'betalactamasas de espectro extendido')",BLEE,betalactamasas de espectro extendido
"('B. P.', 'bálsamo del peru?')",B. P.,bálsamo del peru?
"('ACCGED', 'asociación centroamericana y del caribe de gastroenterología y endoscopía digestiva')",ACCGED,asociación centroamericana y del caribe de gastroenterología y endoscopía digestiva
"('LM', 'lesiones medulares')",LM,lesiones medulares
"('DTA', 'descenso trans-abdominal')",DTA,descenso trans-abdominal
"('ANCA', 'anticitoplasma de neutrófilo')",ANCA,anticitoplasma de neutrófilo
"('CES-D', 'center for epidemiologic studies-depresion')",CES-D,center for epidemiologic studies-depresion
"('Lp-X', 'lipoproteína x')",Lp-X,lipoproteína x
"('LEI', 'lesión escamosa intraepitelial')",LEI,lesión escamosa intraepitelial
"('EMPP', 'em primariamente progresiva')",EMPP,em primariamente progresiva
"('EGI', 'epilepsias generalizadas idiopaticas')",EGI,epilepsias generalizadas idiopaticas
"('BRA-II', 'bloqueador del receptor de angiotensina ii')",BRA-II,bloqueador del receptor de angiotensina ii
"('CAMCOG', 'cambridge cognitive examination')",CAMCOG,cambridge cognitive examination
"('y II', 'y la extensión relativa de la irrigación coronaria')",y II,y la extensión relativa de la irrigación coronaria
"('AI', 'aspergilosis invasiva')",AI,aspergilosis invasiva
"('ME', 'muerte encefálica')",ME,muerte encefálica
"('TdM', 'teoria de la mente')",TdM,teoria de la mente
"('MSC', 'muerte súbita cardiaca')",MSC,muerte súbita cardiaca
"('TCGA', 'transposición corregida de las grandes arterias')",TCGA,transposición corregida de las grandes arterias
"('KADDS', 'knowledge of attention deficit hyperactivity disorder scale')",KADDS,knowledge of attention deficit hyperactivity disorder scale
"('Hib', 'haemophilus influenzae tipo b')",Hib,haemophilus influenzae tipo b
"('ORN', 'osteoradionecrosis')",ORN,osteoradionecrosis
"('UDH', 'unidad de desintoxicacion hospitalaria')",UDH,unidad de desintoxicacion hospitalaria
"('SEH-LELHA', 'sociedad española de hipertensión-liga española para la lucha contra la hipertensión arterial')",SEH-LELHA,sociedad española de hipertensión-liga española para la lucha contra la hipertensión arterial
"('ANCA', 'anti citoplasma del neutrofilo')",ANCA,anti citoplasma del neutrofilo
"('AKE', 'acrokeratoelastoidosis')",AKE,acrokeratoelastoidosis
"('UCE', 'unidades de corta estancia')",UCE,unidades de corta estancia
"('DE', 'de 5 años')",DE,de 5 años
"('ERSPC', 'european randomized study of screening for prostate cancer')",ERSPC,european randomized study of screening for prostate cancer
"('END', 'escala numérica de dolor')",END,escala numérica de dolor
"('DE', 'de 30,2 puntos')",DE,"de 30,2 puntos"
"('SGB', 'sindrome de guillain-barre')",SGB,sindrome de guillain-barre
"('HPRL', 'hiperprolactinemia')",HPRL,hiperprolactinemia
"('NAS', 'nursing activity score')",NAS,nursing activity score
"('INMA', 'infancia y medio ambiente')",INMA,infancia y medio ambiente
"('EG', 'enfermedad de graves')",EG,enfermedad de graves
"('CCC', 'concordancia canónica')",CCC,concordancia canónica
"('FRR', 'función renal residual')",FRR,función renal residual
"('FP', 'factor de protección')",FP,factor de protección
"('HNF', 'heparina no fraccionada')",HNF,heparina no fraccionada
"('AMINE', 'asociacion de monitorizacion intraquirurgica neurofisiologica española')",AMINE,asociacion de monitorizacion intraquirurgica neurofisiologica española
"('as', 'agricultores y sus compañeros')",as,agricultores y sus compañeros
"('FLIPC', 'factores lipídicos inhibidores de la proliferación celular')",FLIPC,factores lipídicos inhibidores de la proliferación celular
"('TCA', 'trastorno del comportamiento alimentario')",TCA,trastorno del comportamiento alimentario
"('NNH', 'número necesario para hacer daño')",NNH,número necesario para hacer daño
"('HSDC', 'hematoma subdural cronico')",HSDC,hematoma subdural cronico
"('ECNEI', 'endocarditis infecciosa')",ECNEI,endocarditis infecciosa
"('NGPP', 'neisseria gonorrhoeae productoras de penicilinasa')",NGPP,neisseria gonorrhoeae productoras de penicilinasa
"('ACE', 'antígeno carcinoembrionario')",ACE,antígeno carcinoembrionario
"('SARM-Co', 'staphylococcus aureus resistente a meticilina de la comunidad')",SARM-Co,staphylococcus aureus resistente a meticilina de la comunidad
"('EBH', 'estreptococo beta hemolítico')",EBH,estreptococo beta hemolítico
"('RRE', 'rehabilitacion del reconocimiento de emociones')",RRE,rehabilitacion del reconocimiento de emociones
"('NICE', 'national institute for health and clinical excellence')",NICE,national institute for health and clinical excellence
"('HM', 'higiene de manos')",HM,higiene de manos
"('OA', 'obesidad abdominal')",OA,obesidad abdominal
"('PEV', 'potenciales evocados visuales')",PEV,potenciales evocados visuales
"('AUDIT-C', 'alcohol use disorders identification test – consumption')",AUDIT-C,alcohol use disorders identification test – consumption
"('AFP', 'alfa-fetoproteína')",AFP,alfa-fetoproteína
"('PTI', 'púrpura trombocitopénico idiopático')",PTI,púrpura trombocitopénico idiopático
"('DG6F', 'de la glucosa 6-fosfato')",DG6F,de la glucosa 6-fosfato
"('CMFP', 'ciclofosfamida, metotrexate, 5-fluorouracilo y prednisona')",CMFP,"ciclofosfamida, metotrexate, 5-fluorouracilo y prednisona"
"('DVD', 'de vitamina d')",DVD,de vitamina d
"('AF', 'anemia ferropénica')",AF,anemia ferropénica
"('RPC', 'recomendaciones para prevenir las caídas')",RPC,recomendaciones para prevenir las caídas
"('RESI-M', 'resiliencia mexicana')",RESI-M,resiliencia mexicana
"('CCRm', 'cáncer colorrectal metastásico')",CCRm,cáncer colorrectal metastásico
"('D.F.', 'dispepsia funcional')",D.F.,dispepsia funcional
"('VNG', 'videonistagmográfico')",VNG,videonistagmográfico
"('AD-QT', 'altas dosis de quimioterapia')",AD-QT,altas dosis de quimioterapia
"('ICFEP', 'insuficiencia cardiaca con fraccion de expulsion preservada')",ICFEP,insuficiencia cardiaca con fraccion de expulsion preservada
"('II', 'insulina-receptor')",II,insulina-receptor
"('VCM', 'volumen corpuscular medio')",VCM,volumen corpuscular medio
"('CPQ-A', 'cannabis problems questionnaire')",CPQ-A,cannabis problems questionnaire
"('RENAC', 'registro nacional de angioplastia coronaria')",RENAC,registro nacional de angioplastia coronaria
"('DACBI', 'dermatosis ampollosa crónica benigna infantil')",DACBI,dermatosis ampollosa crónica benigna infantil
"('SOCHICAR', 'sociedad chilena de cardiología y cirugía cardiovascular')",SOCHICAR,sociedad chilena de cardiología y cirugía cardiovascular
"('VFD', 'vídeo fluoroscopia de deglución')",VFD,vídeo fluoroscopia de deglución
"('GEEP', 'grupo español de endocirugía pediátrica')",GEEP,grupo español de endocirugía pediátrica
"('LA/RC', 'longitud axial/radio corneal')",LA/RC,longitud axial/radio corneal
"('MGH-SFQ', 'massachusetts general hospital-sexual functioning questionnaire')",MGH-SFQ,massachusetts general hospital-sexual functioning questionnaire
"('LES', 'lupus eritematoso sistémico')",LES,lupus eritematoso sistémico
"('SURPS', 'substance use risk profile scale')",SURPS,substance use risk profile scale
"('IP', 'indicadores predictivos')",IP,indicadores predictivos
"('CPCNM', 'carcinoma de pulmón de células no microcelulares')",CPCNM,carcinoma de pulmón de células no microcelulares
"('NACS', 'neumonía asociada al cuidado sanitario')",NACS,neumonía asociada al cuidado sanitario
"('GAFI', 'granuloma aséptico facial idiopático')",GAFI,granuloma aséptico facial idiopático
"('SES', 'servicio extremeño de salud')",SES,servicio extremeño de salud
"('coils', 'conducto arterioso mediante espirales')",coils,conducto arterioso mediante espirales
"('CBTMO', 'criobiología y biología del trasplante de médula osea')",CBTMO,criobiología y biología del trasplante de médula osea
"('MMSE', 'minimental de folstein')",MMSE,minimental de folstein
"('AC', 'aprendizaje cooperativo')",AC,aprendizaje cooperativo
"('UCIP', 'unidades de cuidados intensivos pediátricos')",UCIP,unidades de cuidados intensivos pediátricos
"('SEIP', 'sociedad española de infectología pediátrica')",SEIP,sociedad española de infectología pediátrica
"('LDX', 'lisdexanfetamina')",LDX,lisdexanfetamina
"('CMC', 'consulta monografica de cefaleas')",CMC,consulta monografica de cefaleas
"('SWFL', 'satisfaction with food-related life')",SWFL,satisfaction with food-related life
"('Mn-SOD', 'mn-superóxido dismutasa')",Mn-SOD,mn-superóxido dismutasa
"('ITRD', 'inventario texas revisado de duelo')",ITRD,inventario texas revisado de duelo
"('AV', 'anomalías vasculares')",AV,anomalías vasculares
"('AFP', 'alfa fetoproteína')",AFP,alfa fetoproteína
"('Tnc-as', 'tnc se mide con métodos de alta sensibilidad')",Tnc-as,tnc se mide con métodos de alta sensibilidad
"('P.R.', 'poliquistosis renal')",P.R.,poliquistosis renal
"('DPAE', 'dolor pélvico asociado a endometriosis')",DPAE,dolor pélvico asociado a endometriosis
"('LM', 'lactancia materna')",LM,lactancia materna
"('BMNB', 'bocio multinodular beningo')",BMNB,bocio multinodular beningo
"('RMM', 'razón de muerte materna')",RMM,razón de muerte materna
"('HRV', 'hipertensión renovascular')",HRV,hipertensión renovascular
"('CERCA', 'cuestionario de expectativas de resultado de consumo de alcohol')",CERCA,cuestionario de expectativas de resultado de consumo de alcohol
"('LOLA', 'l-ornitina l-aspartato')",LOLA,l-ornitina l-aspartato
"('ETA', 'enfermedades transmitidas por los alimentos')",ETA,enfermedades transmitidas por los alimentos
"('VACTE', 'valoración de cargas de trabajo y tiempos de enfermería')",VACTE,valoración de cargas de trabajo y tiempos de enfermería
"('ESNPCT', 'estrategia sanitaria nacional de prevención y control de la tuberculosis')",ESNPCT,estrategia sanitaria nacional de prevención y control de la tuberculosis
"('controles', 'control de hemorragia obstétrica y puérperas posparto')",controles,control de hemorragia obstétrica y puérperas posparto
"('MC', 'malformaciones congénitas')",MC,malformaciones congénitas
"('CS', 'cierre simple')",CS,cierre simple
"('EA', 'escala de alvarado')",EA,escala de alvarado
"('SEE', 'sociedad española de epidemiología')",SEE,sociedad española de epidemiología
"('GEEDP', 'grupo español para el estudio del dolor pediátrico')",GEEDP,grupo español para el estudio del dolor pediátrico
"('NSE', 'nivel socioeconómico')",NSE,nivel socioeconómico
"('SOM', 'sistema oculomotor')",SOM,sistema oculomotor
"('H.P.', 'hipertension portal""')",H.P.,"hipertension portal"""
"('PMM-REDAN', 'pmm que utilizan servicios redan')",PMM-REDAN,pmm que utilizan servicios redan
"('IPI', 'indice ponderal intrauterino')",IPI,indice ponderal intrauterino
"('ELCSA', 'escala latinoamericana y caribeña de seguridad alimentaria')",ELCSA,escala latinoamericana y caribeña de seguridad alimentaria
"('CCC', 'communication checklist')",CCC,communication checklist
"('TCI-R', 'temperamento y carácter de cloninger')",TCI-R,temperamento y carácter de cloninger
"('TPG', 'traumatismos potencialmente graves')",TPG,traumatismos potencialmente graves
"('GTI-SEUP', 'grupo de trabajo de intoxicaciones de la sociedad española de urgencias pediátricas')",GTI-SEUP,grupo de trabajo de intoxicaciones de la sociedad española de urgencias pediátricas
"('CFC-GM', 'células formadoras de colonias granulomonocíticas')",CFC-GM,células formadoras de colonias granulomonocíticas
"('Ensanut MC', 'encuesta nacional de salud y nutrición de medio camino')",Ensanut MC,encuesta nacional de salud y nutrición de medio camino
"('IN', 'infección nosocomial')",IN,infección nosocomial
"('CV', 'carga viral')",CV,carga viral
"('FRTG', 'fiebre recurrente transmitida por garrapatas')",FRTG,fiebre recurrente transmitida por garrapatas
"('PRFA', 'proteínas séricas reactantes de fase aguda')",PRFA,proteínas séricas reactantes de fase aguda
"('PC', 'parada cardiaca')",PC,parada cardiaca
"('PART', 'protocolo de amplificación de repeticiones teloméricas')",PART,protocolo de amplificación de repeticiones teloméricas
"('ICSH', 'internacional de estandarización en hematología')",ICSH,internacional de estandarización en hematología
"('H.D.A.', 'hemorragias digestivas altas')",H.D.A.,hemorragias digestivas altas
"('Es', 'especificidad')",Es,especificidad
"('SOCALPAR', 'sociedad castellano-leonesa de patología respiratoria')",SOCALPAR,sociedad castellano-leonesa de patología respiratoria
"('IC 95%', 'intervalos de confianza del 95%')",IC 95%,intervalos de confianza del 95%
"('SN', 'stifneck')",SN,stifneck
"('MC', 'monohidrato de creatina')",MC,monohidrato de creatina
"('FMIC', 'fondo mundial para la investigación sobre cáncer')",FMIC,fondo mundial para la investigación sobre cáncer
"('CEC', 'circulación extracorpórea')",CEC,circulación extracorpórea
"('FDG', 'fluoro-desoxiglucosa')",FDG,fluoro-desoxiglucosa
"('WISCI', 'walking index spinal cord injury')",WISCI,walking index spinal cord injury
"('PET-FDG', 'positrones mediante 18f-fluoro-2-desoxi-d-glucosa')",PET-FDG,positrones mediante 18f-fluoro-2-desoxi-d-glucosa
"('PP', 'peso placentario')",PP,peso placentario
"('EAP', 'espondiloartropatias')",EAP,espondiloartropatias
"('AESP', 'actividad eléctrica sin pulso')",AESP,actividad eléctrica sin pulso
"('ABP', 'aprendizaje basado en problemas')",ABP,aprendizaje basado en problemas
"('UDAI', 'unidad domiciliaria de atención integral')",UDAI,unidad domiciliaria de atención integral
"('AFC', 'análisis factorial confirmatorio')",AFC,análisis factorial confirmatorio
"('BZD', 'benzodiacepinas')",BZD,benzodiacepinas
"('HHM', 'hemohidrometría')",HHM,hemohidrometría
"('PHMB', 'polihexametil biguanida')",PHMB,polihexametil biguanida
"('CPT', 'continuous performance test')",CPT,continuous performance test
"('ILT', 'incapacidad laboral transitoria')",ILT,incapacidad laboral transitoria
"('CHAL', 'calidad de vida en hipertensión arterial')",CHAL,calidad de vida en hipertensión arterial
"('PANDA', 'programa nacional de drogas antineoplásicas')",PANDA,programa nacional de drogas antineoplásicas
"('EVA', 'escala visual análoga')",EVA,escala visual análoga
"('CAT', 'comisaría general de abastecimientos y transportes')",CAT,comisaría general de abastecimientos y transportes
"('Argentina', 'agrupamientos (conglomerados) de incidencia de cáncer infantil en la provincia de córdoba')",Argentina,agrupamientos (conglomerados) de incidencia de cáncer infantil en la provincia de córdoba
"('CRONOS', 'con una nueva forma farmacéutica de losartán de liberación sostenida')",CRONOS,con una nueva forma farmacéutica de losartán de liberación sostenida
"('SGB', 'síndrome de guillain-barré')",SGB,síndrome de guillain-barré
"('ER-IgG4', 'enfermedad relacionada con la inmunoglobulina g4')",ER-IgG4,enfermedad relacionada con la inmunoglobulina g4
"('BIA', 'bioimpedancia')",BIA,bioimpedancia
"('Viannia', 'vectores infectados con leishmania')",Viannia,vectores infectados con leishmania
"('Me', 'medianas')",Me,medianas
"('AMA', 'antimiosina')",AMA,antimiosina
"('TIC', 'tecnologías de la información y comunicación')",TIC,tecnologías de la información y comunicación
"('CDC', 'centros de desarrollo comunitario')",CDC,centros de desarrollo comunitario
"('H.P.N', 'hemoglobinuria paroxística nocturna')",H.P.N,hemoglobinuria paroxística nocturna
"('SEHAN', 'subescala de hábitos alimentarios en niños')",SEHAN,subescala de hábitos alimentarios en niños
"('PRP-T', 'poliribofosfato capsular de hib conjugada al toxoide tetánico')",PRP-T,poliribofosfato capsular de hib conjugada al toxoide tetánico
"('TaETM', 'transanal etm')",TaETM,transanal etm
"('FEPPI', 'fibroelastosis pleuroparenquimatosa idiopàtica')",FEPPI,fibroelastosis pleuroparenquimatosa idiopàtica
"('AR', 'anión restante')",AR,anión restante
"('DUL', 'duloxetina')",DUL,duloxetina
"('PIC', 'percepción de la imagen corporal')",PIC,percepción de la imagen corporal
"('PAS', 'presión arterial sistólica')",PAS,presión arterial sistólica
"('CCU', 'cáncer de cuello uterino')",CCU,cáncer de cuello uterino
"('CTAT', 'complejos trombina-antitrombina iii')",CTAT,complejos trombina-antitrombina iii
"('GESIDA', 'grupo de estudio de sida')",GESIDA,grupo de estudio de sida
"('FLL', 'fractura-luxación de lisfranc')",FLL,fractura-luxación de lisfranc
"('DMSO', 'dimetil sulfoxido')",DMSO,dimetil sulfoxido
"('PVE', 'pie varus equino congénito')",PVE,pie varus equino congénito
"('SEMICYUC', 'sociedad española de medicina intensiva, crítica y unidades coronarias')",SEMICYUC,"sociedad española de medicina intensiva, crítica y unidades coronarias"
"('TECC', 'tactical emergency casualty care')",TECC,tactical emergency casualty care
"('EC', 'error de conciliación')",EC,error de conciliación
"('IEI', 'intervención educativa individualizada')",IEI,intervención educativa individualizada
"('TCC', 'terapia cognitivo-conductual')",TCC,terapia cognitivo-conductual
"('2-AT', '2-amino-tiazolina-hcl')",2-AT,2-amino-tiazolina-hcl
"('GEO', 'gravedad específica de la orina')",GEO,gravedad específica de la orina
"('QOL-AD', ""quality of life in alzheimer's disease"")",QOL-AD,quality of life in alzheimer's disease
"('RME', 'resección mucosa endoscópica')",RME,resección mucosa endoscópica
"('TCMC', 'tc multicorte')",TCMC,tc multicorte
"('CPRE', 'colagiopancreatografía retrógrada endoscópica')",CPRE,colagiopancreatografía retrógrada endoscópica
"('LAMG', 'la mucosa gástrica')",LAMG,la mucosa gástrica
"('FUCD', 'fístulas uretrocutáneas distales')",FUCD,fístulas uretrocutáneas distales
"('CB', 'condiciones de bienestar')",CB,condiciones de bienestar
"('CEA', 'carcino-embrionario')",CEA,carcino-embrionario
"('SEMICYUC', 'sociedad española de medicina intensiva crítica y unidades coronarias')",SEMICYUC,sociedad española de medicina intensiva crítica y unidades coronarias
"('TCNA', 'trauma craneal no accidental')",TCNA,trauma craneal no accidental
"('THC', 'tratamiento hormonal cruzado')",THC,tratamiento hormonal cruzado
"('CIE', 'contrainmunoelectroforesis')",CIE,contrainmunoelectroforesis
"('REVAC', 'red española de vigilancia en alergia de contacto')",REVAC,red española de vigilancia en alergia de contacto
"('PHA', 'por leucocitos mononucleares activados con fitohemaglutinina')",PHA,por leucocitos mononucleares activados con fitohemaglutinina
"('ER', 'enfermedades respiratorias')",ER,enfermedades respiratorias
"('DCF', 'displasias corticales focales')",DCF,displasias corticales focales
"('PAEAFT', 'punción aspiración ecoguiada con aguja fina de tiroides')",PAEAFT,punción aspiración ecoguiada con aguja fina de tiroides
"('TCP', 'trigonocervicoprostatotomía')",TCP,trigonocervicoprostatotomía
"('LIO', 'lente intraocular')",LIO,lente intraocular
"('PS', 'preeclampsia severa')",PS,preeclampsia severa
"('es', 'enfermeras(os) y matronas')",es,enfermeras(os) y matronas
"('PC', 'perímetro de cintura')",PC,perímetro de cintura
"('VCN13', 'vacuna neumocócica conjugada de 13 serotipos')",VCN13,vacuna neumocócica conjugada de 13 serotipos
"('AST-M', 'area de seccion transversal del nervio mediano en la muñeca')",AST-M,area de seccion transversal del nervio mediano en la muñeca
"('VHS II', 'virus de herpes simple tipo ii')",VHS II,virus de herpes simple tipo ii
"('VMI', 'ventilación mandatoria intermitente')",VMI,ventilación mandatoria intermitente
"('EC', 'esguince cervical')",EC,esguince cervical
"('DP', 'diálisis peritoneal')",DP,diálisis peritoneal
"('CAT', 'copd asessment test')",CAT,copd asessment test
"('OD', 'ojo derecho')",OD,ojo derecho
"('SPSC', 'shunt porto-sistémico congénito')",SPSC,shunt porto-sistémico congénito
"('LCR', 'líquido céfalo-raquideo')",LCR,líquido céfalo-raquideo
"('DF', 'disfunción familiar')",DF,disfunción familiar
"('RNICP', 'registro nacional de intervenciones coronarias percutáneas')",RNICP,registro nacional de intervenciones coronarias percutáneas
"('OnabotA', 'onabotulinumtoxina a')",OnabotA,onabotulinumtoxina a
"('AAMCC', 'association of medical chronobiology and chronotherapeutics')",AAMCC,association of medical chronobiology and chronotherapeutics
"('TI', 'técnica de ivanissevich')",TI,técnica de ivanissevich
"('Hb', 'hemoglobina plasmática')",Hb,hemoglobina plasmática
"('ENIGH', 'encuesta nacional de ingresos y gastos de los hogares')",ENIGH,encuesta nacional de ingresos y gastos de los hogares
"('OAK', 'older acute heart failure key data')",OAK,older acute heart failure key data
"('LEOCH', 'litotricia extracorpórea mediante ondas de choque')",LEOCH,litotricia extracorpórea mediante ondas de choque
"('TASPE', 'trasplante autólogo de progenitores hematopoyéticos de sangre periférica')",TASPE,trasplante autólogo de progenitores hematopoyéticos de sangre periférica
"('RBC', 'rehabilitación basada en la comunidad')",RBC,rehabilitación basada en la comunidad
"('EEG-PS', 'eeg de privacion de sueño')",EEG-PS,eeg de privacion de sueño
"('BIS', 'biespectral')",BIS,biespectral
"('PADS', 'physical activity and disability survey')",PADS,physical activity and disability survey
"('P.E.M.A.', 'prueba de espermomigración alejada')",P.E.M.A.,prueba de espermomigración alejada
"('CE', 'claridad emocional')",CE,claridad emocional
"('SN', 'síndrome de netherton')",SN,síndrome de netherton
"('LEG', 'lupus eritematoso generalizado')",LEG,lupus eritematoso generalizado
"('SUP', 'servicios de urgencias pediátricos')",SUP,servicios de urgencias pediátricos
"('UCIN', 'unidad de cuidados intensivos neonatales')",UCIN,unidad de cuidados intensivos neonatales
"('TAO', 'tratamiento con anticoagulación oral')",TAO,tratamiento con anticoagulación oral
"('ODM', 'objetivos de desarrollo del milenio')",ODM,objetivos de desarrollo del milenio
"('SNO', 'suplementos nutricionales orales')",SNO,suplementos nutricionales orales
"('OR', 'odss ratio')",OR,odss ratio
"('HSNS', 'hypersensitive narcissism scale')",HSNS,hypersensitive narcissism scale
"('IRA', 'insuficiencia renal aguda')",IRA,insuficiencia renal aguda
"('IMID', 'inmunomediadas')",IMID,inmunomediadas
"('COX-2', 'ciclooxigenasa 2')",COX-2,ciclooxigenasa 2
"('FANV', 'fibrilacion auricular no valvular')",FANV,fibrilacion auricular no valvular
"('BPTR', 'biopsia prostática transrectal')",BPTR,biopsia prostática transrectal
"('ENP', 'estimulacion nerviosa periferica')",ENP,estimulacion nerviosa periferica
"('ICSI', 'intracitoplasmática de espermatozoides')",ICSI,intracitoplasmática de espermatozoides
"('APLV', 'a la proteína de la leche de vaca')",APLV,a la proteína de la leche de vaca
"('UAM', 'universidad autónoma de madrid')",UAM,universidad autónoma de madrid
"('HADS', 'hospital anxiety and depression scale')",HADS,hospital anxiety and depression scale
"('IECA', 'inhibidores de enzima convertidora de angiotensina')",IECA,inhibidores de enzima convertidora de angiotensina
"('Primates', 'para la reintroducción de monos de los géneros saguinus, aotus y cebus')",Primates,"para la reintroducción de monos de los géneros saguinus, aotus y cebus"
"('SAHS', 'síndrome de apneas-hipoapneas del sueño, en lo adelante')",SAHS,"síndrome de apneas-hipoapneas del sueño, en lo adelante"
"('TFEQ', 'three factor eating questionnaire')",TFEQ,three factor eating questionnaire
"('MTX', 'methotrexate')",MTX,methotrexate
"('FA', 'fibrilación auricular')",FA,fibrilación auricular
"('NYHA', 'new yorl health asosiation')",NYHA,new yorl health asosiation
"('LME', 'lista de medicamentos esenciales')",LME,lista de medicamentos esenciales
"('SRA', 'sistema renina-angiotensina')",SRA,sistema renina-angiotensina
"('EEH', 'exceso de estancia hospitalaria')",EEH,exceso de estancia hospitalaria
"('MBI-C', 'mild behavioral impairment-checklist')",MBI-C,mild behavioral impairment-checklist
"('AyR', 'anestesiología y reanimación')",AyR,anestesiología y reanimación
"('ITUF-AS', 'ituf relacionada con la atención sanitaria')",ITUF-AS,ituf relacionada con la atención sanitaria
"('SAS', 'servicio andaluz de salud')",SAS,servicio andaluz de salud
"('ACMPV', 'anomalías congénitas de mal pronóstico vital')",ACMPV,anomalías congénitas de mal pronóstico vital
"('FG', 'filtrado glomerular')",FG,filtrado glomerular
"('IA', 'insuficiencia arterial')",IA,insuficiencia arterial
"('FX', 'fluoxetina')",FX,fluoxetina
"('SAAa', 'subluxación atlantoaxial anterior')",SAAa,subluxación atlantoaxial anterior
"('FE', 'fístulas enterocutáneas')",FE,fístulas enterocutáneas
"('DCI', 'desnutrición crónica infantil')",DCI,desnutrición crónica infantil
"('BMQ', 'beliefs about medicines questionnare')",BMQ,beliefs about medicines questionnare
"('AP', 'atención primaria')",AP,atención primaria
"('SENR', 'sociedad española de neurorradiología')",SENR,sociedad española de neurorradiología
"('SAVC', 'sistemas de acceso venoso central')",SAVC,sistemas de acceso venoso central
"('SERUMS', 'servicio rural y urbano-marginal en salud')",SERUMS,servicio rural y urbano-marginal en salud
"('AL', 'actividad laboral')",AL,actividad laboral
"('PNA', 'pielonefritis aguda')",PNA,pielonefritis aguda
"('VCN7', 'vacuna neumocócica de 7 serotipos')",VCN7,vacuna neumocócica de 7 serotipos
"('Nemata', 'nematodo strelkovimermis spiculatus')",Nemata,nematodo strelkovimermis spiculatus
"('EVMAC', 'escala para la valoración de la manía por clínicos')",EVMAC,escala para la valoración de la manía por clínicos
"('LF', 'lactoferrina')",LF,lactoferrina
"('PROCES', 'programa de reanimación cardiopulmonar orientado a centros de enseñanza secundaria')",PROCES,programa de reanimación cardiopulmonar orientado a centros de enseñanza secundaria
"('SEGA', 'subependimarios de celulas gigantes')",SEGA,subependimarios de celulas gigantes
"('He-Ne', 'helio-neón')",He-Ne,helio-neón
"('MCA', 'metilcianoacrilato')",MCA,metilcianoacrilato
"('PCR', 'proteína c-reactiva')",PCR,proteína c-reactiva
"('DAA', 'dolor abdominal agudo')",DAA,dolor abdominal agudo
"('PDF', 'productos de degradación del fibrinógeno')",PDF,productos de degradación del fibrinógeno
"('OR', 'odds ratio')",OR,odds ratio
"('SLP', 'supervivencia libre de progresión')",SLP,supervivencia libre de progresión
"('ERCA', 'enfermedad renal cronica avanzada')",ERCA,enfermedad renal cronica avanzada
"('E. M.', 'esclerosis múltiple')",E. M.,esclerosis múltiple
"('COR', 'característica operativa del receptor')",COR,característica operativa del receptor
